Latitude,Longitude,Date,Time,UTC
53.168338333,8.649846667,2019-03-12,15:17:52,2019-03-12T15:17:52
53.168338333,8.649846667,2019-03-12,15:17:53,2019-03-12T15:17:53
53.168338333,8.649846667,2019-03-12,15:17:54,2019-03-12T15:17:54
53.168338333,8.649846667,2019-03-12,15:17:55,2019-03-12T15:17:55
53.168338333,8.649846667,2019-03-12,15:17:56,2019-03-12T15:17:56
53.168338333,8.649846667,2019-03-12,15:17:57,2019-03-12T15:17:57
53.168338333,8.649846667,2019-03-12,15:17:58,2019-03-12T15:17:58
53.168338333,8.649846667,2019-03-12,15:17:59,2019-03-12T15:17:59
53.168338333,8.649846667,2019-03-12,15:18:00,2019-03-12T15:18
53.168338333,8.649846667,2019-03-12,15:18:01,2019-03-12T15:18:01
53.168338333,8.649846667,2019-03-12,15:18:02,2019-03-12T15:18:02
53.168338333,8.649846667,2019-03-12,15:18:03,2019-03-12T15:18:03
53.168338333,8.649846667,2019-03-12,15:18:04,2019-03-12T15:18:04
53.168338333,8.649846667,2019-03-12,15:18:05,2019-03-12T15:18:05
53.168338333,8.649846667,2019-03-12,15:18:06,2019-03-12T15:18:06
53.168338333,8.649846667,2019-03-12,15:18:07,2019-03-12T15:18:07
53.168338333,8.649846667,2019-03-12,15:18:08,2019-03-12T15:18:08
53.168338333,8.649846667,2019-03-12,15:18:09,2019-03-12T15:18:09
53.168338333,8.649846667,2019-03-12,15:18:10,2019-03-12T15:18:10
53.168338333,8.649846667,2019-03-12,15:18:11,2019-03-12T15:18:11
53.168338333,8.649846667,2019-03-12,15:18:12,2019-03-12T15:18:12
53.168338333,8.649846667,2019-03-12,15:18:13,2019-03-12T15:18:13
53.168338333,8.649846667,2019-03-12,15:18:14,2019-03-12T15:18:14
53.168338333,8.649846667,2019-03-12,15:18:15,2019-03-12T15:18:15
53.168338333,8.649846667,2019-03-12,15:18:16,2019-03-12T15:18:16
53.168338333,8.649846667,2019-03-12,15:18:17,2019-03-12T15:18:17
53.168338333,8.649846667,2019-03-12,15:18:18,2019-03-12T15:18:18
53.168338333,8.649846667,2019-03-12,15:18:19,2019-03-12T15:18:19
